Generation,Best Fitness,Worst Fitness,Best Fitness So Far
1,907890.5,1543896.5,907890.5
2,675759.5,1763939.5,675759.5
3,674305.0,1729358.0,674305.0
4,829957.5,1928349.5,674305.0
5,672829.5,1521079.0,672829.5
6,446289.0,2097430.0,446289.0
7,856659.5,1607237.5,446289.0
8,675116.0,1662369.0,446289.0
9,712282.5,1595440.0,446289.0
10,726482.0,1773705.5,446289.0
11,624010.5,1361356.0,446289.0
12,449210.0,1578302.5,446289.0
13,832677.0,1590541.5,446289.0
14,981791.5,1852292.5,446289.0
15,791398.0,1652617.0,446289.0
16,1080309.0,2287965.5,446289.0
17,647420.0,1920898.5,446289.0
18,686253.0,2129777.0,446289.0
19,869463.5,1731349.0,446289.0
20,866713.5,1809106.5,446289.0
21,863138.0,1549254.5,446289.0
22,418892.0,1321324.0,418892.0
23,882519.5,1538607.5,418892.0
24,918668.0,1826187.0,418892.0
25,733414.0,1260503.5,418892.0
26,820744.5,1299631.5,418892.0
27,835954.5,1566897.0,418892.0
28,863008.5,1646187.0,418892.0
29,944096.5,1767020.0,418892.0
30,718827.0,1616956.5,418892.0
31,872328.0,1651647.0,418892.0
32,629376.0,1826599.5,418892.0
33,767381.5,2306713.5,418892.0
34,920014.0,1563125.0,418892.0
35,859392.5,1688654.0,418892.0
36,788484.0,1770953.0,418892.0
37,668968.0,1567241.0,418892.0
38,824675.5,1775265.5,418892.0
39,615652.5,1553924.5,418892.0
40,819208.5,1644491.5,418892.0
41,831717.0,1890671.0,418892.0
42,548314.5,2457635.0,418892.0
43,657057.5,1711802.0,418892.0
44,891178.0,1423930.5,418892.0
45,594333.5,1716525.0,418892.0
46,855965.5,1887413.0,418892.0
47,806739.5,1609306.5,418892.0
48,722901.0,1739422.5,418892.0
49,815457.0,1632490.0,418892.0
50,743451.0,1701556.5,418892.0
51,736786.5,1678952.5,418892.0
52,566068.0,1681339.5,418892.0
53,801529.5,1639512.0,418892.0
54,829364.0,1686970.0,418892.0
55,817191.0,1844690.5,418892.0
56,1030690.5,1696991.0,418892.0
57,499471.0,1837715.5,418892.0
58,776005.0,2663728.0,418892.0
59,651240.0,1490905.5,418892.0
60,826402.0,1948772.0,418892.0
61,804976.5,1462810.0,418892.0
62,763228.5,2010064.5,418892.0
63,785052.5,1626565.5,418892.0
64,817653.0,1462550.5,418892.0
65,656857.0,2036354.0,418892.0
66,560989.0,1773576.0,418892.0
67,868285.0,1736108.5,418892.0
68,963428.5,1835034.5,418892.0
69,649475.5,1804368.5,418892.0
70,833048.5,2202315.0,418892.0
71,822657.0,1486604.5,418892.0
72,522601.5,1693149.5,418892.0
73,673029.0,1362708.0,418892.0
74,726848.5,1492581.5,418892.0
75,843310.0,1683690.0,418892.0
76,672335.5,1920330.5,418892.0
77,736468.0,1547249.5,418892.0
78,654860.5,1931018.5,418892.0
79,733280.5,1827178.5,418892.0
80,813331.0,1705312.5,418892.0
81,586838.0,1908036.5,418892.0
82,380191.0,1770196.0,380191.0
83,933844.0,2044494.0,380191.0
84,812972.0,1486621.5,380191.0
85,780080.5,1499571.5,380191.0
86,1016085.0,1916534.0,380191.0
87,763602.0,2079593.5,380191.0
88,979693.0,2047841.0,380191.0
89,769729.5,1870471.5,380191.0
90,819503.0,1677971.0,380191.0
91,679710.5,1429275.0,380191.0
92,984386.5,1911092.0,380191.0
93,637832.0,1928205.5,380191.0
94,841916.5,1867636.5,380191.0
95,1050904.0,2016776.5,380191.0
96,909136.0,2267212.5,380191.0
97,748059.0,1658644.0,380191.0
98,852450.5,1727256.0,380191.0
99,748958.5,1502505.0,380191.0
100,1031436.0,2181778.5,380191.0
101,774436.5,1698843.5,380191.0
102,814748.5,1806970.5,380191.0
103,655609.0,1846040.5,380191.0
104,819117.5,2062804.5,380191.0
105,621853.5,1941598.0,380191.0
106,881179.0,1883359.0,380191.0
107,435119.0,1550895.0,380191.0
108,842687.0,1551174.0,380191.0
109,614277.5,1594175.5,380191.0
110,733008.0,1785272.0,380191.0
111,876679.0,1861441.0,380191.0
112,762764.5,1411071.5,380191.0
113,716304.0,2345466.0,380191.0
114,690911.5,1712116.5,380191.0
115,611228.0,1644178.5,380191.0
116,597136.0,2401991.5,380191.0
117,650490.5,1170746.0,380191.0
118,380021.5,1661943.0,380021.5
119,819619.0,1928178.5,380021.5
120,705431.5,1961646.5,380021.5
121,532615.5,1460187.0,380021.5
122,841431.0,1452485.5,380021.5
123,902842.5,1987012.5,380021.5
124,997883.5,1929181.5,380021.5
125,910793.0,1814897.0,380021.5
126,627957.5,1550178.5,380021.5
127,737101.5,1533741.5,380021.5
128,744400.5,1911542.0,380021.5
129,1071204.5,1571118.0,380021.5
130,650162.5,1687038.0,380021.5
131,711062.5,1788067.5,380021.5
132,704885.5,1652979.0,380021.5
133,982091.5,1836883.5,380021.5
134,930437.5,1855911.0,380021.5
135,811703.5,1575210.5,380021.5
136,904385.0,1660018.0,380021.5
137,952691.0,1685416.5,380021.5
138,893826.0,1685685.0,380021.5
139,738729.5,2256031.5,380021.5
140,536031.0,1611485.0,380021.5
141,726341.0,1551246.5,380021.5
142,722075.5,1441472.5,380021.5
143,814485.5,1558451.0,380021.5
144,803274.5,1767339.0,380021.5
145,893172.5,1921535.5,380021.5
146,658899.5,1638425.5,380021.5
147,979425.0,1796627.0,380021.5
148,751501.5,1790718.5,380021.5
149,794315.0,1720991.5,380021.5
150,839285.5,1654430.5,380021.5
151,998908.0,1694946.0,380021.5
152,913784.0,1374701.0,380021.5
153,677169.5,1556329.5,380021.5
154,945469.0,1407646.0,380021.5
155,822785.0,1815448.5,380021.5
156,702079.0,1587280.0,380021.5
157,692220.5,1558030.0,380021.5
158,645196.0,1630157.5,380021.5
159,635814.5,1484549.5,380021.5
160,784282.0,1576454.5,380021.5
161,470843.0,1931582.5,380021.5
162,960336.0,1613645.5,380021.5
163,846797.0,1741919.5,380021.5
164,1008760.0,2003607.0,380021.5
165,912884.0,1714019.5,380021.5
166,716861.5,1741450.5,380021.5
167,730248.5,1702395.0,380021.5
168,991033.5,1764807.0,380021.5
169,810788.5,1527186.0,380021.5
170,759256.0,1688450.5,380021.5
171,570751.5,1450772.0,380021.5
172,649974.5,1457555.0,380021.5
173,630472.5,1989219.5,380021.5
174,693793.0,1555666.5,380021.5
175,638340.5,1542333.0,380021.5
176,648271.5,1820450.0,380021.5
177,988647.0,1942528.0,380021.5
178,1018989.5,1449092.0,380021.5
179,814854.5,1649443.0,380021.5
180,742942.5,1576238.0,380021.5
181,704999.5,1556816.5,380021.5
182,836753.5,1573335.5,380021.5
183,784290.5,1516205.5,380021.5
184,782860.0,1452513.5,380021.5
185,735326.0,1356509.5,380021.5
186,659988.5,1821873.0,380021.5
187,640638.0,1677744.5,380021.5
188,829698.0,1982515.5,380021.5
189,637520.5,1513954.0,380021.5
190,748413.5,1544590.5,380021.5
191,748132.5,1534938.0,380021.5
192,665318.5,1375940.0,380021.5
193,571627.5,1517847.5,380021.5
194,662315.5,1701226.0,380021.5
195,900669.0,1436053.0,380021.5
196,724956.0,1560720.0,380021.5
197,896690.0,1582189.5,380021.5
198,883791.0,1425378.5,380021.5
199,665462.0,1572809.5,380021.5
200,613104.0,1825401.5,380021.5
201,614946.5,1501080.0,380021.5
202,571153.0,1546035.0,380021.5
203,810113.5,1505406.0,380021.5
204,558827.5,1666259.5,380021.5
205,766221.0,1639512.0,380021.5
206,441129.5,1859807.0,380021.5
207,749202.0,1667880.0,380021.5
208,607301.0,1921344.0,380021.5
209,768351.5,2409813.5,380021.5
210,1083439.0,1460012.0,380021.5
211,860590.0,1821348.0,380021.5
212,692318.0,1903624.5,380021.5
213,754096.0,1639985.5,380021.5
214,659276.0,1466458.5,380021.5
215,566726.0,1266442.5,380021.5
216,640315.5,1980541.5,380021.5
217,827470.5,1680099.5,380021.5
218,689274.0,1460858.5,380021.5
219,515768.0,1736242.0,380021.5
220,658019.5,1456402.5,380021.5
221,510967.0,1429911.0,380021.5
222,616780.5,1765532.5,380021.5
223,641802.0,1386537.0,380021.5
224,787645.0,1428674.5,380021.5
225,654925.5,1770147.5,380021.5
226,843457.5,1774317.0,380021.5
227,788547.0,1575123.5,380021.5
228,660162.5,1668322.0,380021.5
229,666827.5,1485765.0,380021.5
230,783025.5,1821160.0,380021.5
231,491470.0,1665418.0,380021.5
232,656517.5,1726246.0,380021.5
233,833659.0,1675338.0,380021.5
234,820204.0,1490067.0,380021.5
235,975740.0,1765235.5,380021.5
236,574873.5,1921959.0,380021.5
237,777181.5,1793203.5,380021.5
238,590075.0,1448371.5,380021.5
239,917927.0,2283344.5,380021.5
240,872840.0,1669742.0,380021.5
241,752913.0,1631699.0,380021.5
242,635095.0,1818993.5,380021.5
243,692865.5,1431366.0,380021.5
244,553667.5,1324234.0,380021.5
245,723907.5,1843496.5,380021.5
246,714903.0,1641091.5,380021.5
247,689032.0,1833656.0,380021.5
248,724293.5,1580567.5,380021.5
249,597917.5,1502609.5,380021.5
250,718598.5,1704839.5,380021.5
251,818084.0,1790359.0,380021.5
252,879321.0,1444020.5,380021.5
253,721507.5,1576581.0,380021.5
254,833405.5,1639157.5,380021.5
255,517466.0,1450643.0,380021.5
256,501179.0,1604881.0,380021.5
257,649916.5,2148820.0,380021.5
258,953289.5,1397429.0,380021.5
259,1002556.0,1569593.0,380021.5
260,385277.5,2083773.0,380021.5
261,732344.5,1451555.5,380021.5
262,935816.0,1976531.0,380021.5
263,836271.5,1594162.5,380021.5
264,710701.5,1399772.5,380021.5
265,692337.0,1404409.0,380021.5
266,804797.0,1508917.0,380021.5
267,633702.0,1494715.0,380021.5
268,637225.5,1532656.5,380021.5
269,716063.5,1555745.0,380021.5
270,625776.5,1868514.0,380021.5
271,797951.5,1486039.5,380021.5
272,610751.5,1588557.5,380021.5
273,947471.5,1376602.0,380021.5
274,815113.5,1458658.0,380021.5
275,728346.0,1851787.5,380021.5
276,673159.5,1770827.5,380021.5
277,773483.5,1512126.5,380021.5
278,468181.5,1051354.0,380021.5
279,595291.5,1937368.5,380021.5
280,741430.5,1398244.0,380021.5
281,768797.5,1493537.5,380021.5
282,487858.5,1396269.0,380021.5
283,588669.0,2103969.5,380021.5
284,821142.5,1485100.5,380021.5
285,576535.5,1253443.0,380021.5
286,579189.5,1560192.0,380021.5
287,745435.0,1856055.5,380021.5
288,697803.5,1882188.0,380021.5
289,725574.0,1643642.0,380021.5
290,704380.5,1281140.5,380021.5
291,747000.5,1631363.5,380021.5
292,832015.0,1810182.5,380021.5
293,729853.5,1716497.0,380021.5
294,711675.5,1426601.5,380021.5
295,892825.5,1477386.5,380021.5
296,505146.0,1454615.5,380021.5
297,949264.0,1558974.0,380021.5
298,816310.5,1647561.0,380021.5
299,673121.5,1808467.5,380021.5
300,705269.5,1425176.0,380021.5
301,769332.5,1916511.5,380021.5
302,681483.5,1442548.5,380021.5
303,930445.5,1652199.0,380021.5
304,544074.0,1476884.0,380021.5
305,881532.5,1588893.0,380021.5
306,648557.5,1723067.0,380021.5
307,667541.5,1323586.5,380021.5
308,743392.5,1770429.0,380021.5
309,655049.5,1833010.0,380021.5
310,1019908.5,1927578.0,380021.5
311,851594.5,1998587.5,380021.5
312,555829.0,1196429.0,380021.5
313,695666.5,1679392.0,380021.5
314,815850.5,1554083.0,380021.5
315,530873.0,1454343.5,380021.5
316,508549.0,1483616.0,380021.5
