Generation,Best Fitness,Worst Fitness,Best Fitness So Far
1,549735.0,2096246.0,549735.0
2,456820.0,1885582.0,456820.0
3,603515.5,2001691.5,456820.0
4,493638.5,2122513.5,456820.0
5,484584.0,2111072.5,456820.0
6,529100.0,2077698.0,456820.0
7,548416.5,2429492.5,456820.0
8,592887.0,2665564.5,456820.0
9,693310.5,2029077.0,456820.0
10,622063.0,2323218.0,456820.0
11,605212.5,2095070.0,456820.0
12,563686.0,2773683.0,456820.0
13,500707.5,2163086.0,456820.0
14,628620.0,2327308.0,456820.0
15,582199.5,2160394.0,456820.0
16,486736.5,2411193.5,456820.0
17,552808.5,2086933.0,456820.0
18,517911.5,2125023.0,456820.0
19,603607.0,2346251.0,456820.0
20,651986.5,1897817.5,456820.0
21,549067.0,2114816.5,456820.0
22,487104.0,1935998.0,456820.0
23,572655.0,2110126.0,456820.0
24,501679.5,2296806.5,456820.0
25,514051.5,2118884.0,456820.0
26,598926.5,1901535.5,456820.0
27,539833.0,2066038.0,456820.0
28,554837.5,1819419.0,456820.0
29,421153.5,2272126.0,421153.5
30,519703.0,1762967.0,421153.5
31,636109.0,1897646.0,421153.5
32,577194.5,1834954.5,421153.5
33,609346.5,2105826.5,421153.5
34,632676.0,2092302.5,421153.5
35,531423.0,1961230.0,421153.5
36,609069.5,2386581.5,421153.5
37,543726.0,2087092.5,421153.5
38,568612.5,2126204.0,421153.5
39,760826.5,1828023.5,421153.5
40,388710.0,1990068.5,388710.0
41,498839.5,2019040.0,388710.0
42,615823.5,2179011.5,388710.0
43,493078.5,2165361.0,388710.0
44,532005.0,2095100.5,388710.0
45,693184.5,1990594.0,388710.0
46,721106.5,1891207.0,388710.0
47,591041.5,2109724.5,388710.0
48,438114.5,2274319.5,388710.0
49,515495.5,2037580.0,388710.0
50,460839.0,1997318.0,388710.0
51,465252.0,1814118.0,388710.0
52,632990.0,1907593.5,388710.0
53,421066.5,2167621.0,388710.0
54,407579.5,2015088.0,388710.0
55,535367.5,2088155.0,388710.0
56,612762.5,2035357.0,388710.0
57,576731.0,2161596.5,388710.0
58,533976.0,2229585.5,388710.0
59,489115.5,2157673.0,388710.0
60,549937.5,1773832.5,388710.0
61,417675.0,2027131.5,388710.0
62,565712.5,1944721.0,388710.0
63,501596.5,2155356.0,388710.0
64,578674.0,1904212.0,388710.0
65,402503.5,1858976.5,388710.0
66,627560.0,2238952.0,388710.0
67,487588.5,1944072.0,388710.0
68,541801.0,1843770.0,388710.0
69,320707.5,2342451.5,320707.5
70,552954.0,2207643.5,320707.5
71,582392.5,1820317.0,320707.5
72,493283.5,1827876.0,320707.5
73,549128.0,1852362.5,320707.5
74,564514.0,1797835.5,320707.5
75,435101.5,1808967.0,320707.5
76,550711.0,1708486.0,320707.5
77,690403.0,1984824.0,320707.5
78,472342.0,1806957.0,320707.5
79,555282.5,2106412.0,320707.5
80,517907.0,1929872.5,320707.5
81,485535.0,2047229.0,320707.5
82,553922.0,1831599.5,320707.5
83,457767.0,2279374.5,320707.5
84,487909.0,1921629.5,320707.5
85,445399.0,2019948.5,320707.5
86,423653.5,1852384.5,320707.5
87,564549.0,1867058.5,320707.5
88,442973.5,2378796.0,320707.5
89,381775.0,1772540.0,320707.5
90,478580.0,1833602.5,320707.5
91,477618.5,1799531.0,320707.5
92,428314.5,1889339.5,320707.5
93,331390.5,1869829.5,320707.5
94,508807.0,1859771.0,320707.5
95,514405.5,1888120.5,320707.5
96,444780.5,2090659.5,320707.5
97,465913.0,1752638.0,320707.5
98,482308.0,1927087.5,320707.5
99,433798.0,1880961.5,320707.5
100,615783.5,1801237.0,320707.5
101,391019.0,1886419.5,320707.5
102,516776.0,2056685.5,320707.5
103,437004.5,2025513.0,320707.5
104,576703.0,2139720.5,320707.5
105,482398.5,1828913.0,320707.5
106,574827.0,1901698.0,320707.5
107,481627.5,1752526.5,320707.5
108,484442.0,1746317.5,320707.5
109,577168.5,1773164.0,320707.5
110,432665.5,1851879.0,320707.5
111,441444.5,2476233.5,320707.5
112,413522.5,1921639.5,320707.5
113,510763.0,1688839.0,320707.5
114,386986.0,1873403.5,320707.5
115,461017.5,1986772.5,320707.5
116,447341.5,1729551.0,320707.5
117,527789.0,2018752.5,320707.5
118,418934.5,1723423.0,320707.5
119,417736.0,1640804.5,320707.5
120,309165.0,1872376.0,309165.0
121,489510.5,1918416.0,309165.0
122,553316.0,1813515.0,309165.0
123,352692.5,1531291.5,309165.0
124,599277.0,2338058.0,309165.0
125,403084.0,1834709.5,309165.0
126,391630.5,1776767.5,309165.0
127,436853.0,2146569.0,309165.0
128,425318.0,1804634.0,309165.0
129,482091.0,1741087.0,309165.0
130,534560.0,1854166.0,309165.0
131,372289.5,1714209.0,309165.0
132,503621.0,1719950.0,309165.0
133,385032.0,2093056.5,309165.0
134,426821.0,1513057.0,309165.0
135,382965.5,1727529.0,309165.0
136,560632.0,1822745.0,309165.0
137,404379.0,1772614.0,309165.0
138,417586.0,1610023.0,309165.0
139,346816.0,1783013.5,309165.0
140,364800.5,1994839.0,309165.0
141,438923.0,1658567.0,309165.0
142,425102.0,1628042.5,309165.0
143,511658.5,1743457.0,309165.0
144,340651.5,1585960.5,309165.0
145,381124.5,1717833.5,309165.0
146,433947.0,2217391.5,309165.0
147,410900.5,1590611.5,309165.0
148,489201.5,1840790.5,309165.0
149,474350.5,1479579.5,309165.0
150,401711.5,1544580.0,309165.0
151,493166.5,1641664.5,309165.0
152,439734.5,1869954.5,309165.0
153,438750.0,1828431.0,309165.0
154,331152.5,1694776.0,309165.0
155,394833.5,1595273.0,309165.0
156,549127.0,1608268.0,309165.0
157,405046.5,1672289.0,309165.0
158,413388.5,1666622.0,309165.0
159,409453.5,1681907.5,309165.0
160,403723.0,1591212.5,309165.0
161,487926.0,1701064.5,309165.0
162,463749.5,1784303.0,309165.0
163,440054.0,1426322.0,309165.0
164,390815.0,1634646.0,309165.0
165,466321.0,1567978.0,309165.0
166,466333.0,1740143.0,309165.0
167,600170.0,1699529.5,309165.0
168,354427.5,1998927.5,309165.0
169,458362.0,1548666.5,309165.0
170,297497.5,1486349.5,297497.5
171,351063.0,1648022.5,297497.5
172,397177.5,1671163.0,297497.5
173,402728.0,1978796.0,297497.5
174,382848.0,1498632.0,297497.5
175,401012.5,2210161.0,297497.5
176,508153.5,1742725.0,297497.5
177,384349.5,1829088.5,297497.5
178,390828.5,1470400.5,297497.5
179,509050.5,1517354.5,297497.5
180,427027.0,1782733.5,297497.5
181,408802.5,1649012.0,297497.5
182,472851.0,1470437.0,297497.5
183,418657.5,1390511.0,297497.5
184,377284.0,1705047.0,297497.5
185,341674.0,1534332.5,297497.5
186,274495.0,1562817.0,274495.0
187,409484.5,1663222.0,274495.0
188,329378.0,1449017.5,274495.0
189,432381.0,1926380.0,274495.0
190,492076.5,1554787.0,274495.0
191,421584.5,1628919.5,274495.0
192,363922.5,1492206.0,274495.0
193,419157.0,1424307.5,274495.0
194,421135.0,1366340.0,274495.0
195,408194.5,1689812.0,274495.0
196,409988.0,1594252.0,274495.0
197,373637.0,1613370.0,274495.0
198,314007.0,1595513.5,274495.0
199,451992.5,1452991.5,274495.0
200,437889.0,1757478.5,274495.0
