Generation,Best Fitness,Worst Fitness,Best Fitness So Far
1,417011.5,2256268.5,417011.5
2,581924.5,2043499.0,417011.5
3,466236.0,1765619.0,417011.5
4,602615.5,1926132.5,417011.5
5,641426.0,2200964.0,417011.5
6,479437.5,1901171.0,417011.5
7,537864.5,2418614.5,417011.5
8,478460.5,2296938.5,417011.5
9,553924.5,2146756.5,417011.5
10,508414.5,2345510.5,417011.5
11,396085.5,2278808.5,396085.5
12,436248.5,2233543.0,396085.5
13,520033.5,2287961.5,396085.5
14,476859.0,2238094.0,396085.5
15,442596.0,1897361.5,396085.5
16,516080.5,2159079.0,396085.5
17,507500.0,1989072.0,396085.5
18,350255.5,2198605.0,350255.5
19,693376.0,2063496.0,350255.5
20,627844.0,1936469.0,350255.5
21,446896.5,1909810.5,350255.5
22,640396.0,2146810.0,350255.5
23,511948.0,2159199.5,350255.5
24,638068.5,2166641.0,350255.5
25,475290.0,1969362.5,350255.5
26,595604.0,2135668.0,350255.5
27,541417.5,2072083.0,350255.5
28,505883.5,1945298.5,350255.5
29,393455.5,1994236.0,350255.5
30,537306.5,2179713.5,350255.5
31,581520.5,1884088.5,350255.5
32,622887.0,2258498.5,350255.5
33,573821.5,2240568.5,350255.5
34,457797.5,2096322.5,350255.5
35,538492.5,2257582.5,350255.5
36,474211.5,2065684.0,350255.5
37,609685.0,1861288.0,350255.5
38,660724.5,1950098.0,350255.5
39,671748.5,1874057.0,350255.5
40,593113.5,1837748.0,350255.5
41,573504.5,2442637.5,350255.5
42,494949.0,1807193.5,350255.5
43,498477.0,2104399.5,350255.5
44,384608.0,2268164.0,350255.5
45,580270.0,1996720.5,350255.5
46,697988.5,2412322.0,350255.5
47,359963.5,2130803.0,350255.5
48,504202.5,2290284.0,350255.5
49,546438.5,2017835.5,350255.5
50,523427.5,2253452.0,350255.5
51,599521.5,2109434.0,350255.5
52,631012.5,2330107.5,350255.5
53,522211.5,1946406.0,350255.5
54,505052.0,1798706.0,350255.5
55,490161.0,2002115.0,350255.5
56,494817.5,1980760.0,350255.5
57,475027.5,1947600.5,350255.5
58,553520.5,2449689.5,350255.5
59,405789.0,2119863.0,350255.5
60,591913.5,2043985.0,350255.5
61,508144.5,1920018.5,350255.5
62,512453.0,1723791.0,350255.5
63,357040.0,1851620.0,350255.5
64,567701.5,2209677.0,350255.5
65,571171.0,2194766.0,350255.5
66,277335.0,1891352.5,277335.0
67,530984.5,1951957.0,277335.0
68,383137.0,1856945.0,277335.0
69,539956.5,2209265.5,277335.0
70,543698.0,2147535.0,277335.0
71,489457.5,1792012.5,277335.0
72,501874.5,2010368.5,277335.0
73,612123.0,1813270.0,277335.0
74,404054.5,1769428.5,277335.0
75,611846.0,1881553.5,277335.0
76,519857.5,2010898.0,277335.0
77,493490.5,2099123.5,277335.0
78,475733.5,2319468.0,277335.0
79,600057.5,2146328.0,277335.0
80,507237.0,1967109.5,277335.0
81,505784.0,2293197.5,277335.0
82,411490.5,2264496.5,277335.0
83,630978.5,1950207.5,277335.0
84,317580.0,1933868.5,277335.0
85,510057.5,1805440.5,277335.0
86,487719.0,2040067.5,277335.0
87,553313.0,2177815.0,277335.0
88,617319.0,2182378.5,277335.0
89,483578.5,1773222.5,277335.0
90,401632.5,1916597.0,277335.0
91,452683.5,1764163.5,277335.0
92,600474.0,1930363.5,277335.0
93,586723.5,1724055.5,277335.0
94,382291.5,2094128.0,277335.0
95,610044.5,2071191.0,277335.0
96,588587.0,1892107.5,277335.0
97,633795.5,2127455.5,277335.0
98,603831.0,1915650.5,277335.0
99,379295.0,2254979.5,277335.0
100,540775.5,2259857.0,277335.0
101,434473.5,2008139.0,277335.0
102,392066.0,1909130.5,277335.0
103,661777.0,2001339.0,277335.0
104,408616.0,1699256.5,277335.0
105,355449.5,1773510.5,277335.0
106,551983.0,1817435.0,277335.0
107,297871.0,1865731.0,277335.0
108,557701.5,2166771.0,277335.0
109,347369.0,1906957.0,277335.0
110,480138.5,1899770.0,277335.0
111,560725.0,1899537.0,277335.0
112,513738.5,1870122.0,277335.0
113,535885.5,1708439.0,277335.0
114,304864.0,1768329.0,277335.0
115,440763.5,1787798.5,277335.0
116,568814.5,1761721.0,277335.0
117,582352.5,1774402.5,277335.0
118,516362.5,1930644.0,277335.0
119,579420.5,1853916.0,277335.0
120,491323.0,2067445.0,277335.0
121,433878.5,1705380.5,277335.0
122,492450.0,2057287.0,277335.0
123,170857.0,1753164.0,170857.0
124,542633.0,1836379.5,170857.0
125,542149.5,2283183.5,170857.0
126,462386.5,1965797.0,170857.0
127,551051.0,1932853.5,170857.0
128,504021.5,2092178.0,170857.0
129,452435.5,1783409.5,170857.0
130,644521.0,2075844.5,170857.0
131,519831.5,1825925.0,170857.0
132,509562.0,1832414.0,170857.0
133,501711.0,1898767.5,170857.0
134,552090.0,1839839.0,170857.0
135,459970.5,1799827.5,170857.0
136,516193.5,2051483.5,170857.0
137,346900.0,1855873.5,170857.0
138,528993.5,1892379.5,170857.0
139,475277.5,1794984.5,170857.0
140,319873.0,1517087.0,170857.0
141,418078.5,2372778.0,170857.0
142,514251.0,2116591.5,170857.0
143,477003.5,2135826.0,170857.0
144,513537.5,1857237.0,170857.0
145,406684.0,1859572.5,170857.0
146,362698.5,1732176.0,170857.0
147,436341.0,1654452.0,170857.0
148,379729.5,1636436.5,170857.0
149,373613.5,1840949.5,170857.0
150,345067.5,1830301.5,170857.0
151,434759.0,1505618.5,170857.0
152,385368.5,2137383.5,170857.0
153,405471.5,1729043.5,170857.0
154,389026.0,1626297.5,170857.0
155,465630.0,1698109.5,170857.0
156,357179.0,1559835.0,170857.0
157,442535.0,1816082.0,170857.0
158,291495.0,1572101.0,170857.0
159,488874.5,1680363.5,170857.0
160,467530.0,1716600.5,170857.0
161,368766.5,1984358.5,170857.0
162,397337.0,1755661.5,170857.0
163,350165.5,1504934.0,170857.0
164,418531.0,1797456.5,170857.0
165,431411.0,1734891.0,170857.0
166,411688.0,2060750.0,170857.0
167,475831.0,1577905.5,170857.0
168,441042.0,1582875.0,170857.0
169,425447.0,1664543.5,170857.0
170,403779.5,1657250.5,170857.0
171,465828.5,1672210.0,170857.0
172,478789.5,1643021.5,170857.0
173,484464.0,1791507.5,170857.0
174,461693.5,1674238.0,170857.0
175,344281.5,1540095.0,170857.0
176,430713.0,1352658.5,170857.0
177,373192.0,1873357.0,170857.0
178,463660.0,1706688.0,170857.0
179,373323.0,1531057.5,170857.0
180,486635.5,1474472.5,170857.0
181,406436.0,1604380.5,170857.0
182,438466.0,1629079.5,170857.0
183,422808.5,1686500.0,170857.0
184,441689.0,1600695.0,170857.0
185,404215.0,1855164.5,170857.0
186,397310.0,1684393.0,170857.0
187,455974.5,1510196.0,170857.0
188,352197.0,1779229.5,170857.0
189,403746.0,1653158.5,170857.0
190,301216.5,1442792.5,170857.0
191,442078.0,1595822.0,170857.0
192,417690.0,1902191.5,170857.0
193,407466.5,1695114.5,170857.0
194,500095.0,1714562.0,170857.0
195,320158.5,1703634.0,170857.0
196,363370.5,1500866.5,170857.0
197,373688.5,1689562.5,170857.0
198,440292.0,1597971.0,170857.0
199,409691.5,1310936.5,170857.0
200,330503.0,1599727.5,170857.0
