Generation,Best Fitness,Worst Fitness,Best Fitness So Far
1,631492.5,2165783.0,631492.5
2,634610.0,1952346.5,631492.5
3,613712.0,2048458.5,613712.0
4,599689.0,2256810.0,599689.0
5,420171.0,2273137.0,420171.0
6,582521.5,2032335.5,420171.0
7,594741.5,2342025.5,420171.0
8,443918.0,2241085.0,420171.0
9,577704.5,1874273.0,420171.0
10,546251.5,1987340.5,420171.0
11,425064.5,2244171.5,420171.0
12,648571.0,2018664.5,420171.0
13,403473.0,2125588.5,403473.0
14,434857.0,2545541.0,403473.0
15,462130.0,2287294.0,403473.0
16,544363.5,2112522.0,403473.0
17,580567.5,1880506.0,403473.0
18,383514.0,1981727.0,383514.0
19,400238.5,2110359.0,383514.0
20,562981.5,2099151.5,383514.0
21,605461.5,2105119.0,383514.0
22,637368.0,1883866.5,383514.0
23,520218.5,1846719.5,383514.0
24,692375.5,1965617.5,383514.0
25,496389.5,2009000.5,383514.0
26,555437.5,2003414.0,383514.0
27,512118.5,2006506.5,383514.0
28,495713.0,2150415.5,383514.0
29,412023.5,1912953.5,383514.0
30,629109.0,2068106.0,383514.0
31,503600.5,2045184.5,383514.0
32,464176.0,2060487.5,383514.0
33,537332.0,2062008.0,383514.0
34,590670.0,2147140.0,383514.0
35,541581.0,2302269.0,383514.0
36,461840.5,2052751.0,383514.0
37,530183.0,2108513.5,383514.0
38,407836.0,2061138.5,383514.0
39,391003.5,2318158.0,383514.0
40,619317.0,2318349.0,383514.0
41,477559.0,1917702.0,383514.0
42,511592.0,1910464.0,383514.0
43,574228.0,1857000.0,383514.0
44,481340.0,2403702.5,383514.0
45,466300.5,2108581.0,383514.0
46,514082.0,1925911.0,383514.0
47,410431.0,2007411.5,383514.0
48,538423.0,2231905.0,383514.0
49,325606.5,1944608.5,325606.5
50,485270.5,2069026.5,325606.5
51,630122.5,2066502.0,325606.5
52,469375.5,1931003.0,325606.5
53,669135.5,1989895.5,325606.5
54,495009.0,2169849.0,325606.5
55,477568.0,2264477.5,325606.5
56,586654.5,1967690.5,325606.5
57,659492.5,1791851.0,325606.5
58,632807.0,2207364.0,325606.5
59,509782.0,2086622.0,325606.5
60,445462.0,2282948.5,325606.5
61,585032.5,1963342.5,325606.5
62,436381.0,1949939.5,325606.5
63,449929.0,1901119.5,325606.5
64,553709.5,2130870.5,325606.5
65,579250.5,2242286.5,325606.5
66,626394.0,2070791.5,325606.5
67,600493.5,2397984.5,325606.5
68,528792.0,1930042.0,325606.5
69,454395.0,1978946.0,325606.5
70,582838.0,2231855.5,325606.5
71,531666.0,2193281.5,325606.5
72,606783.5,1837362.5,325606.5
73,511525.5,2373676.0,325606.5
74,447852.5,1989297.5,325606.5
75,489086.0,2033202.0,325606.5
76,548254.5,2184180.5,325606.5
77,574284.0,2244227.5,325606.5
78,639819.5,2032496.5,325606.5
79,440274.5,2268281.0,325606.5
80,566249.0,1926204.0,325606.5
81,632168.0,2304731.5,325606.5
82,561326.5,2172370.5,325606.5
83,355940.0,2180733.5,325606.5
84,523783.0,1881417.5,325606.5
85,508000.5,2121150.5,325606.5
86,642407.5,1995538.5,325606.5
87,488153.0,1872289.5,325606.5
88,500350.0,1914303.0,325606.5
89,499989.0,2196786.5,325606.5
90,592889.5,1956510.5,325606.5
91,694431.0,2057634.5,325606.5
92,371101.0,1805793.0,325606.5
93,461233.5,2178773.5,325606.5
94,472997.5,2164427.0,325606.5
95,462549.0,2085499.5,325606.5
96,545721.5,2349397.0,325606.5
97,429547.0,2139320.0,325606.5
98,523556.0,2253906.0,325606.5
99,685002.5,2203657.5,325606.5
