Generation,Best Fitness,Worst Fitness,Best Fitness So Far
1,488821.5,1691810.5,488821.5
2,859974.0,1889243.5,488821.5
3,747067.0,2256268.5,488821.5
4,902165.0,1644728.5,488821.5
5,869001.0,1962525.5,488821.5
6,958618.0,1963791.0,488821.5
7,836456.5,1934248.5,488821.5
8,753726.5,2039647.0,488821.5
9,1016465.0,1623231.5,488821.5
10,417011.5,1624159.0,417011.5
11,581924.5,1773941.5,417011.5
12,815669.0,2042777.0,417011.5
13,689973.5,1563484.0,417011.5
14,582371.5,1477127.5,417011.5
15,670107.5,1696048.0,417011.5
16,965138.0,1803326.0,417011.5
17,707767.5,1722198.5,417011.5
18,930281.5,1762550.0,417011.5
19,812774.0,1633124.5,417011.5
20,666519.5,1777762.5,417011.5
21,466236.0,1642720.5,417011.5
22,871374.5,1705281.5,417011.5
23,826346.5,1637129.0,417011.5
24,576621.5,1535698.5,417011.5
25,912163.5,1623401.5,417011.5
26,905143.0,1580717.5,417011.5
27,922532.5,1673538.5,417011.5
28,957998.5,1417924.5,417011.5
29,574649.0,1546383.0,417011.5
30,702302.0,1545992.5,417011.5
31,828471.5,1768320.5,417011.5
32,848347.5,1778838.5,417011.5
33,833256.5,1864611.5,417011.5
34,711820.0,1516970.5,417011.5
35,911407.5,1809931.5,417011.5
36,647314.5,1415735.5,417011.5
37,610251.5,1571917.0,417011.5
38,982370.5,1920253.5,417011.5
39,877613.0,1360193.5,417011.5
40,698659.0,1802915.0,417011.5
41,751635.5,1699088.0,417011.5
42,922848.5,1915303.0,417011.5
43,951951.5,1808453.5,417011.5
44,725010.0,1354560.0,417011.5
45,951033.5,1839166.5,417011.5
46,524521.0,1368098.5,417011.5
47,955947.0,1483741.5,417011.5
48,730748.5,1851747.5,417011.5
49,871110.0,1756552.5,417011.5
50,962831.0,1761340.5,417011.5
51,903495.5,1783337.5,417011.5
52,516670.5,1723318.0,417011.5
53,773960.0,1746103.0,417011.5
54,803895.0,1649108.0,417011.5
55,1027662.5,1851502.5,417011.5
56,799529.0,1570375.0,417011.5
57,903244.5,1765006.5,417011.5
58,733308.0,1701577.5,417011.5
59,803875.0,1835368.0,417011.5
60,681848.0,1332799.0,417011.5
61,723410.0,2336400.0,417011.5
62,887670.0,1440938.0,417011.5
63,901673.5,1689627.0,417011.5
64,599156.0,1537269.0,417011.5
65,646068.0,1592987.0,417011.5
66,575573.5,1347993.5,417011.5
67,914905.0,1604004.5,417011.5
68,918977.5,1944687.0,417011.5
69,760201.5,1928941.5,417011.5
70,920764.5,1854543.0,417011.5
71,772205.5,1736318.0,417011.5
72,1004083.0,1948606.0,417011.5
73,775972.0,1440235.5,417011.5
74,792102.5,1733756.0,417011.5
75,766965.5,1949490.0,417011.5
76,1028877.0,1920520.5,417011.5
77,586435.5,1392158.5,417011.5
78,848751.0,1764109.5,417011.5
79,912470.5,1990854.0,417011.5
80,707806.5,1718258.5,417011.5
81,741461.5,1587679.0,417011.5
82,1047310.0,1783506.5,417011.5
83,748357.5,1631457.0,417011.5
84,613545.5,1664819.0,417011.5
85,819866.5,1539186.5,417011.5
86,888363.0,1636925.0,417011.5
87,789656.0,1798839.5,417011.5
88,667161.0,1594513.0,417011.5
89,741452.5,1829605.5,417011.5
90,507784.0,1716385.5,417011.5
91,738200.0,1525995.0,417011.5
92,696763.5,1718330.0,417011.5
93,726826.0,1368312.5,417011.5
94,899552.5,1478920.0,417011.5
95,672960.5,1462091.0,417011.5
96,714944.5,1845492.0,417011.5
97,709684.0,1452866.0,417011.5
98,733588.5,1743250.0,417011.5
99,858602.5,1573870.5,417011.5
100,826882.0,1465368.0,417011.5
101,858947.0,1502046.0,417011.5
102,672345.5,1857087.0,417011.5
103,863495.0,2365426.0,417011.5
104,849561.5,1832415.5,417011.5
105,713428.5,1798543.5,417011.5
106,809126.5,1997026.5,417011.5
107,399050.5,1800934.5,399050.5
108,545228.0,1377072.0,399050.5
109,814362.0,1705002.0,399050.5
110,888181.0,1555859.0,399050.5
111,730475.5,1449653.5,399050.5
112,772847.5,1890832.0,399050.5
113,529430.0,1883775.5,399050.5
114,639078.0,1971132.5,399050.5
115,861649.0,1748521.0,399050.5
116,837924.0,1758773.0,399050.5
117,923441.5,1967138.5,399050.5
118,757222.0,2091191.0,399050.5
119,957683.0,1735864.5,399050.5
120,857276.5,1809784.5,399050.5
121,855635.0,1864132.0,399050.5
122,915943.5,1622263.0,399050.5
123,990555.0,1756881.5,399050.5
124,615919.5,2096249.0,399050.5
125,635530.0,1419052.0,399050.5
126,668870.5,1888016.0,399050.5
127,876035.5,1843372.5,399050.5
128,572800.5,1685790.5,399050.5
