Generation,Best Fitness,Worst Fitness,Best Fitness So Far
1,488821.5,1691810.5,488821.5
2,859974.0,1889243.5,488821.5
3,747067.0,2256268.5,488821.5
4,902165.0,1644728.5,488821.5
5,869001.0,1962525.5,488821.5
6,958618.0,1867787.0,488821.5
7,836456.5,1934248.5,488821.5
8,754130.0,2038709.5,488821.5
9,1016465.0,1624496.0,488821.5
10,423404.5,1611037.0,423404.5
11,458417.5,1671239.0,423404.5
12,918719.5,1882189.5,423404.5
13,648736.0,1601709.0,423404.5
14,746683.5,1531106.5,423404.5
15,671487.5,1878326.0,423404.5
16,721587.0,1731519.0,423404.5
17,764999.5,1651949.0,423404.5
18,1053539.5,1532188.5,423404.5
19,746545.5,1728658.0,423404.5
20,761650.0,1546356.5,423404.5
21,493624.0,1663181.5,423404.5
22,904497.0,2159207.5,423404.5
23,920916.5,1580435.0,423404.5
24,591493.5,1559856.5,423404.5
25,786955.5,1691002.0,423404.5
26,772381.5,1770810.0,423404.5
27,638839.0,1639223.5,423404.5
28,870013.5,1262815.0,423404.5
29,893883.5,1470727.0,423404.5
30,871771.0,1895738.5,423404.5
31,800022.0,1486128.5,423404.5
32,750628.0,2048328.5,423404.5
33,1169568.0,1679717.0,423404.5
34,980084.0,1880014.0,423404.5
35,624541.5,1865918.5,423404.5
36,638416.5,1694993.0,423404.5
37,633523.0,1592886.5,423404.5
38,753406.5,1650127.5,423404.5
39,524577.5,1424335.5,423404.5
40,733294.5,1854980.0,423404.5
41,654973.0,1415907.5,423404.5
42,684503.5,1630657.0,423404.5
43,728924.0,1690809.5,423404.5
44,968686.5,1753144.0,423404.5
45,705933.0,1359640.5,423404.5
46,783987.0,1471634.0,423404.5
47,671479.0,1336993.0,423404.5
48,698414.0,1441287.0,423404.5
49,827443.5,1394381.5,423404.5
50,629925.0,1659454.5,423404.5
51,727605.0,1521044.5,423404.5
52,706418.0,1250886.0,423404.5
53,807583.0,1779739.5,423404.5
54,654445.5,1626908.5,423404.5
55,695118.0,1458279.5,423404.5
56,869756.0,1428123.0,423404.5
57,583476.5,1380629.0,423404.5
58,621450.5,1587840.5,423404.5
59,812305.0,2103327.0,423404.5
60,716840.5,1355746.0,423404.5
61,885773.5,1382763.0,423404.5
62,695015.5,1601442.5,423404.5
63,451513.0,1246418.0,423404.5
64,605983.0,1482794.0,423404.5
65,545185.0,1456261.5,423404.5
66,525815.0,1450937.0,423404.5
67,541129.0,1182848.0,423404.5
68,500254.0,1193623.5,423404.5
69,546952.5,1255559.0,423404.5
70,507394.5,1460045.5,423404.5
71,584500.5,1093482.5,423404.5
72,624980.0,1427294.0,423404.5
73,455538.0,1239986.0,423404.5
74,444637.0,1302989.5,423404.5
75,584167.5,938018.5,423404.5
76,509102.5,1200222.0,423404.5
77,663191.0,1142308.0,423404.5
78,633937.0,942657.5,423404.5
79,582983.0,1473822.5,423404.5
80,723939.0,1308775.0,423404.5
81,618405.5,1343318.0,423404.5
82,634472.5,1323962.5,423404.5
83,648731.5,1139472.5,423404.5
84,447146.5,1158937.0,423404.5
85,526696.5,1138707.5,423404.5
86,565223.0,914945.0,423404.5
87,594040.0,1031839.0,423404.5
88,677000.5,1114426.5,423404.5
89,554298.5,1139488.5,423404.5
90,666963.5,1020435.5,423404.5
91,543922.0,1013776.5,423404.5
92,461163.0,907394.5,423404.5
93,464672.5,1062143.0,423404.5
94,529540.0,955377.5,423404.5
95,482808.5,896209.5,423404.5
96,678490.0,987612.0,423404.5
97,459796.5,928765.0,423404.5
98,519733.5,1033955.5,423404.5
99,398084.0,889934.0,398084.0
100,435885.0,755557.0,398084.0
101,318686.5,836654.0,318686.5
102,304707.5,923520.5,304707.5
103,511154.0,895621.0,304707.5
104,344503.0,987995.0,304707.5
105,367094.5,1056457.0,304707.5
106,409601.5,812092.5,304707.5
107,332336.5,707176.0,304707.5
108,365856.0,865491.0,304707.5
109,413715.5,979399.5,304707.5
110,359873.5,846780.5,304707.5
111,355407.5,822041.0,304707.5
112,364746.0,923878.5,304707.5
113,334666.5,685526.0,304707.5
114,223135.5,668364.5,223135.5
115,297441.0,698887.0,223135.5
116,296581.0,655693.0,223135.5
117,318362.5,646785.5,223135.5
118,363299.5,658694.5,223135.5
119,334666.5,570336.5,223135.5
120,324476.5,668576.0,223135.5
121,350444.0,642581.5,223135.5
122,363299.5,684972.5,223135.5
123,334956.5,597852.0,223135.5
124,274433.5,480379.0,223135.5
125,287611.0,446425.5,223135.5
126,335508.5,519749.5,223135.5
127,288291.0,591294.0,223135.5
128,370835.5,643320.0,223135.5
129,311797.5,674232.5,223135.5
130,333758.5,534796.0,223135.5
131,288297.0,601487.5,223135.5
